Source,Year,sex,length_cm,latitude,longitude,Month,Day,
M1690/96,1996,M,157,57.43816757,-7.395380974,09,03,
M1611/96,1996,M,142,56.33843994,-2.782870054,09,05,
M1676/96,1996,M,148,57.68355942,-2.739533424,09,13,
M1700/96,1996,U,NA,59.20446777,-2.684599638,09,17,
M1801/96,1996,F,165,57.39505768,-7.372361183,09,20,
M1766/96,1996,U,100,56.77329636,-2.402463198,09,21,
M1764/96,1996,M,106,57.89075089,-4.012298584,09,22,
M1824/96,1996,U,170,58.52055359,-3.129612923,09,25,
M1873/96,1996,U,120,56.02865601,-3.376725435,10,04,
M1907/96,1996,U,100,56.701931,-5.214565754,10,07,
M1932/96,1996,F,142,56.04930115,-3.295578718,10,13,
M1933/96,1996,M,141,60.49753571,-1.157176256,10,13,
M2042/96,1996,U,NA,57.57844543,-4.100402355,10,25,
M2138/96,1996,M,153,59.29387665,-2.581056595,11,06,
M2137/96,1996,F,118,57.66448593,-3.02745533,11,07,
M2199/96,1996,M,132,57.66252136,-3.568811893,11,17,
M2261/96,1996,M,148,57.17009354,-2.077688932,11,27,
M2367/96,1996,U,120,56.02334213,-2.87594676,12,06,
M2439/96,1996,U,110,55.55916595,-4.657398224,12,17,
M2445/96,1996,M,144,56.00783539,-3.390422106,12,19,
M2474/96,1996,M,146,57.24017334,-2.044700384,12,22,
M31/97,1997,U,NA,57.30845261,-1.993324518,01,05,
M32/97,1997,F,104,57.17728424,-2.077708483,01,08,
M2957/97,1997,M,110,58.34438324,-6.643199444,01,14,
M106/97,1997,M,157,55.63604736,-4.797682285,01,16,
M206/97,1997,F,165,59.2809906,-2.428152561,01,16,
M372/97,1997,F,130,56.02956772,-3.375158548,02,18,
M407/97,1997,M,93,58.1018219,-5.271762371,02,19,
M2960/97,1997,M,NA,59.24630356,-2.752044678,02,21,
M414/97,1997,F,117,57.60297394,-1.834313154,02,22,
M627/97,1997,U,122,56.18881607,-2.855543137,03,08,
M540/97,1997,M,170,60.17250824,-1.315112829,03,11,
M622/97,1997,F,152,60.35018921,-2.543308735,03,18,
M682/97,1997,M,115,56.05965042,-3.250960112,03,24,
M677/97,1997,F,93,57.70472336,-3.49679327,03,28,
M684/97,1997,M,122,58.59817123,-3.369584799,03,31,
M714/97,1997,M,123,60.49102783,-1.459457159,04,03,
M866/97,1997,U,110,57.65115738,-5.797854424,04,03,
M742/97,1997,F,105,55.74880981,-4.858342171,04,05,
M741/97,1997,F,114,57.59532547,-4.111414433,04,05,
M776/97,1997,M,114,57.28399277,-7.42260313,04,07,
M757/97,1997,M,112,56.00066376,-3.388566017,04,08,
M756/97,1997,F,134,56.06376266,-3.198095083,04,08,
M1085/97,1997,U,NA,55.75251389,-5.384665966,04,09,
M802/97,1997,M,107,57.00866318,-5.832431316,04,11,
M881/97,1997,U,115,57.1151886,-7.39287138,04,12,
M869/97,1997,U,140,57.58675385,-3.916843653,04,16,
M836/97,1997,F,115,56.7165451,-2.44598031,04,16,
M843/97,1997,F,127,56.16666794,-3.048294544,04,17,
M990/97,1997,M,108,56.00875092,-3.388856411,05,05,
M1028/97,1997,F,126,57.66997528,-2.348642826,05,09,
M1109/97,1997,U,153,57.58914185,-7.525049686,05,11,
M1217/97,1997,M,154,57.68650055,-2.697659492,05,31,
M1248/97,1997,F,71,57.87995148,-4.013381004,06,04,
M1507/97,1997,F,171,59.95478821,-1.177196264,06,14,
M1828/97,1997,U,70,59.03615952,-2.574948549,06,15,
M1345/97,1997,M,115,57.17098999,-2.077682972,06,17,
M1381/97,1997,U,150,58.20584106,-6.308377743,06,18,
M1513/97,1997,U,NA,58.01326752,-6.493605614,06,21,
M1376/97,1997,U,NA,57.26174164,-2.026487589,06,21,
M1377/97,1997,F,160,57.75298691,-3.915566444,06,21,
M1382/97,1997,U,NA,57.2761116,-2.018199205,06,23,
M1452/97,1997,M,152,57.75190353,-7.141910553,06,25,
M1436/97,1997,U,NA,57.14942932,-2.075985193,06,26,
M1509/97,1997,F,163,60.14115524,-1.171725631,06,27,
M1552/97,1997,U,165,60.13471603,-1.301496029,06,29,
M1604/97,1997,U,76,56.35985184,-2.805965662,07,11,
M1648/97,1997,U,NA,56.63010025,-2.498747587,07,18,
M1675/97,1997,M,150,56.20599365,-2.711907387,07,22,
M1962/97,1997,F,140,60.84958267,2.580974817,07,23,
M1694/97,1997,F,161,57.03463364,-7.452395916,07,24,
M1963/97,1997,F,135,60.69960022,2.580980778,07,27,
M1904/97,1997,F,143,58.21857834,-5.888743401,08,20,
M1915/97,1997,M,121,58.04164124,-6.130432129,08,21,
M1945/97,1997,F,152,58.85498428,-2.856212378,08,26,
M2100/97,1997,U,180,55.69654083,-4.90228796,09,05,
M2118/97,1997,M,119,57.67992401,-2.325266123,09,13,
M2152/97,1997,F,151,58.60805511,-3.672925711,09,13,
M2309/97,1997,U,140,58.06630707,-5.35841608,09,18,
M2372/97,1997,U,NA,56.29418564,-5.653940678,10,14,
M2472/97,1997,M,137,57.616745,-1.383304477,10,23,
M2730/97,1997,M,103,56.59501648,-5.381479263,11,28,
M2793/97,1997,M,116,56.23578644,-2.667840958,12,06,
M2962/97,1997,U,157,59.38879013,-2.418946028,12,06,
M2790/97,1997,F,155,56.49409103,-5.422855377,12,07,
M59/98,1998,F,120,60.20959473,-1.370279431,01,06,
M166/98,1998,U,137,54.88823318,-5.158889771,01,18,
M112/98,1998,M,122,55.99363708,-3.373878002,01,20,
M169/98,1998,U,NA,60.19134903,-1.157829285,01,26,
M168/98,1998,M,152,57.68382645,-2.159277201,01,26,
M446/98,1998,U,100,55.84552002,-5.132289886,02,19,
M428/98,1998,M,143,55.77891541,-5.099808216,02,25,
