mreference,class_field,subclass,event,eventnumberinyear,speciesscientific,speciescommon,datefound,datecertainty,latitudewgs84,longitudewgs84,sex,length,lengthuncertain,conditionfound,examinationlevel,Year
M2637/92,Cetacean,Harbour porpoise,Single,263,Phocoena phocoena,Harbour porpoise,1992-11-15,Exact,58.59547424,-3.369486809,M,152,FALSE,Slight decomposition (code 2b),necropsied,1992
M2651/92,Cetacean,Harbour porpoise,Single,265,Phocoena phocoena,Harbour porpoise,1992-11-17,Exact,60.20959473,-1.370279431,M,151,FALSE,freshly dead- died on beach (code 2a),necropsied,1992
M2679/92,Cetacean,Harbour porpoise,Single,267,Phocoena phocoena,Harbour porpoise,1992-11-22,Exact,57.72629166,-5.689774036,M,133,FALSE,moderate decomposition (code 3),necropsied,1992
M2763/92,Cetacean,Harbour porpoise,Single,276,Phocoena phocoena,Harbour porpoise,1992-12-05,Exact,58.99446106,-2.946700335,M,128,FALSE,freshly dead- died on beach (code 2a),necropsied,1992
M2858/92,Cetacean,Harbour porpoise,Single,285,Phocoena phocoena,Harbour porpoise,1992-12-18,Exact,54.85500336,-3.789792299,M,148,FALSE,unknown,necropsied,1992
M42/93,Cetacean,Harbour porpoise,Single,4,Phocoena phocoena,Harbour porpoise,1993-01-06,Exact,57.38355637,-6.074783325,M,115,FALSE,unknown,necropsied,1993
M279/93,Cetacean,Harbour porpoise,Single,27,Phocoena phocoena,Harbour porpoise,1993-01-17,Exact,57.30316925,-7.395502567,U,127,TRUE,unknown,not necropsied,1993
M105/93,Cetacean,Harbour porpoise,Single,10,Phocoena phocoena,Harbour porpoise,1993-01-18,Exact,56.57896042,-6.281003475,F,154,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M136/93,Cetacean,Harbour porpoise,Single,13,Phocoena phocoena,Harbour porpoise,1993-01-23,Exact,59.87080002,-1.315969467,F,110.5,FALSE,Slight decomposition (code 2b),necropsied,1993
M185/93,Cetacean,Harbour porpoise,Single,18,Phocoena phocoena,Harbour porpoise,1993-01-25,Exact,59.87883759,-1.308650732,M,130,FALSE,Slight decomposition (code 2b),necropsied,1993
M270/93,Cetacean,Harbour porpoise,Single,27,Phocoena phocoena,Harbour porpoise,1993-02-07,Exact,55.64271927,-4.820406914,F,168,FALSE,advanced decomposition (code 4),necropsied,1993
M359/93,Cetacean,Harbour porpoise,Single,35,Phocoena phocoena,Harbour porpoise,1993-02-15,Exact,54.77595901,-4.364738941,U,NA,TRUE,unknown,not necropsied,1993
