mreference,class_field,subclass,event,eventnumberinyear,speciesscientific,speciescommon,datefound,datecertainty,latitudewgs84,longitudewgs84,sex,length,lengthuncertain,conditionfound,examinationlevel,Year,Source
M432/96,Cetacean,Harbour porpoise,Single,43,Phocoena phocoena,Harbour porpoise,1996-03-19,Exact,57.96208954,-3.989252329,U,140,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M440/96,Cetacean,Harbour porpoise,Single,44,Phocoena phocoena,Harbour porpoise,1996-03-20,Exact,57.68135834,-3.497514248,F,129,FALSE,advanced decomposition (code 4),necropsied,1996,Modern
M444/96,Cetacean,Harbour porpoise,Single,44,Phocoena phocoena,Harbour porpoise,1996-03-20,Exact,57.7622757,-3.895885944,M,107,FALSE,Slight decomposition (code 2b),necropsied,1996,Modern
M463/96,Cetacean,Harbour porpoise,Single,46,Phocoena phocoena,Harbour porpoise,1996-03-22,Exact,57.16559982,-2.077684879,M,125,FALSE,Slight decomposition (code 2b),necropsied,1996,Modern
M573/96,Cetacean,Harbour porpoise,Single,57,Phocoena phocoena,Harbour porpoise,1996-03-31,Exact,57.21232605,-2.059568405,U,150,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M515/96,Cetacean,Harbour porpoise,Single,51,Phocoena phocoena,Harbour porpoise,1996-03-31,Exact,57.72197342,-3.319527626,F,126,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M529/96,Cetacean,Harbour porpoise,Single,52,Phocoena phocoena,Harbour porpoise,1996-04-01,Exact,60.22369385,-1.315845966,M,140,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M600/96,Cetacean,Harbour porpoise,Single,60,Phocoena phocoena,Harbour porpoise,1996-04-01,Exact,57.36898804,-7.413516521,M,139,TRUE,freshly dead- died on beach (code 2a),sampled,1996,Modern
M669/96,Cetacean,Harbour porpoise,Single,66,Phocoena phocoena,Harbour porpoise,1996-04-10,Exact,60.7028389,-0.869695961,U,117,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M619/96,Cetacean,Harbour porpoise,Single,61,Phocoena phocoena,Harbour porpoise,1996-04-12,Exact,57.26533508,-2.026492596,M,114,FALSE,Slight decomposition (code 2b),necropsied,1996,Modern
M748/96,Cetacean,Harbour porpoise,Single,74,Phocoena phocoena,Harbour porpoise,1996-04-25,Exact,58.59380722,-3.071759939,U,120,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M738/96,Cetacean,Harbour porpoise,Single,73,Phocoena phocoena,Harbour porpoise,1996-04-29,Exact,55.91933823,-4.946127415,U,110,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M760/96,Cetacean,Harbour porpoise,Single,76,Phocoena phocoena,Harbour porpoise,1996-05-02,Exact,57.72332001,-3.361563444,M,119,FALSE,advanced decomposition (code 4),necropsied,1996,Modern
M770/96,Cetacean,Harbour porpoise,Single,77,Phocoena phocoena,Harbour porpoise,1996-05-03,Exact,57.24556351,-2.041389942,F,118,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M772/96,Cetacean,Harbour porpoise,Single,77,Phocoena phocoena,Harbour porpoise,1996-05-03,Exact,57.70987701,-3.439933538,M,145,FALSE,advanced decomposition (code 4),necropsied,1996,Modern
M775/96,Cetacean,Harbour porpoise,Single,77,Phocoena phocoena,Harbour porpoise,1996-05-06,Exact,57.69322968,-4.003004551,M,110,FALSE,Slight decomposition (code 2b),necropsied,1996,Modern
M788/96,Cetacean,Harbour porpoise,Single,78,Phocoena phocoena,Harbour porpoise,1996-05-07,Exact,57.72464752,-3.321300983,M,123,FALSE,advanced decomposition (code 4),necropsied,1996,Modern
M787/96,Cetacean,Harbour porpoise,Single,78,Phocoena phocoena,Harbour porpoise,1996-05-07,Exact,57.25095367,-2.038078785,M,109,FALSE,Slight decomposition (code 2b),necropsied,1996,Modern
M826/96,Cetacean,Harbour porpoise,Single,82,Phocoena phocoena,Harbour porpoise,1996-05-14,Exact,57.68769073,-2.930818796,U,100,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M1315/96,Cetacean,Harbour porpoise,Single,131,Phocoena phocoena,Harbour porpoise,1996-05-14,Exact,56.52245331,-6.953262806,U,120,TRUE,unknown,not necropsied,1996,Modern
M846/96,Cetacean,Harbour porpoise,Single,84,Phocoena phocoena,Harbour porpoise,1996-05-16,Exact,57.66640854,-3.01240921,M,149,FALSE,Slight decomposition (code 2b),necropsied,1996,Modern
M866/96,Cetacean,Harbour porpoise,Single,86,Phocoena phocoena,Harbour porpoise,1996-05-21,Exact,57.25095367,-2.038078785,M,122,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M897/96,Cetacean,Harbour porpoise,Single,89,Phocoena phocoena,Harbour porpoise,1996-05-22,Exact,57.69201279,-4.023084641,U,NA,TRUE,unknown,not necropsied,1996,Modern
M886/96,Cetacean,Harbour porpoise,Single,88,Phocoena phocoena,Harbour porpoise,1996-05-23,Exact,57.20243835,-2.062853813,M,114,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M2370/96,Cetacean,Harbour porpoise,Single,237,Phocoena phocoena,Harbour porpoise,1996-06-01,Exact,58.9138298,-2.783013344,U,100,TRUE,unknown,not necropsied,1996,Modern
M973/96,Cetacean,Harbour porpoise,Single,97,Phocoena phocoena,Harbour porpoise,1996-06-01,Exact,57.47761536,-7.37782383,F,120,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M2516/96,Cetacean,Harbour porpoise,Single,251,Phocoena phocoena,Harbour porpoise,1996-06-01,Exact,60.22742462,-1.563086629,U,138,TRUE,unknown,sampled,1996,Modern
M974/96,Cetacean,Harbour porpoise,Single,97,Phocoena phocoena,Harbour porpoise,1996-06-03,Exact,57.37331772,-7.417485237,M,145,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M1251/96,Cetacean,Harbour porpoise,Single,125,Phocoena phocoena,Harbour porpoise,1996-06-12,Exact,60.35507584,-0.946994662,M,80,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M1020/96,Cetacean,Harbour porpoise,Single,102,Phocoena phocoena,Harbour porpoise,1996-06-13,Exact,56.2016983,-4.746848583,F,106,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M1031/96,Cetacean,Harbour porpoise,Single,103,Phocoena phocoena,Harbour porpoise,1996-06-17,Exact,57.93652344,-5.197556496,F,78,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M1046/96,Cetacean,Harbour porpoise,Single,104,Phocoena phocoena,Harbour porpoise,1996-06-23,Exact,57.67108536,-2.543129921,F,137,FALSE,advanced decomposition (code 4),necropsied,1996,Modern
M1105/96,Cetacean,Harbour porpoise,Single,110,Phocoena phocoena,Harbour porpoise,1996-06-27,Exact,57.57129669,-4.043123245,F,75,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M1152/96,Cetacean,Harbour porpoise,Single,115,Phocoena phocoena,Harbour porpoise,1996-07-05,Exact,57.5826416,-4.063838959,M,88,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M1248/96,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1996-07-12,Exact,57.45059586,-6.752943516,U,160,TRUE,freshly dead- died on beach (code 2a),not necropsied,1996,Modern
M1249/96,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1996-07-14,Exact,56.93058395,-5.868948936,U,80,TRUE,alive- refloated (code 1),not necropsied,1996,Modern
M1276/96,Cetacean,Harbour porpoise,Single,127,Phocoena phocoena,Harbour porpoise,1996-07-20,Exact,57.26314163,-7.426177502,U,83,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M1343/96,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1996-08-01,Exact,54.86389923,-3.796415567,M,81,FALSE,Slight decomposition (code 2b),necropsied,1996,Modern
M1688/96,Cetacean,Harbour porpoise,Single,168,Phocoena phocoena,Harbour porpoise,1996-08-30,Exact,57.30562973,-7.400846481,M,107,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M1670/96,Cetacean,Harbour porpoise,Single,167,Phocoena phocoena,Harbour porpoise,1996-09-01,Exact,57.4613533,-7.400475502,F,160,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M1690/96,Cetacean,Harbour porpoise,Single,169,Phocoena phocoena,Harbour porpoise,1996-09-03,Exact,57.43816757,-7.395380974,M,157,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M1611/96,Cetacean,Harbour porpoise,Single,161,Phocoena phocoena,Harbour porpoise,1996-09-05,Exact,56.33843994,-2.782870054,M,142,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M1676/96,Cetacean,Harbour porpoise,Single,167,Phocoena phocoena,Harbour porpoise,1996-09-13,Exact,57.68355942,-2.739533424,M,148,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M1700/96,Cetacean,Harbour porpoise,Single,170,Phocoena phocoena,Harbour porpoise,1996-09-17,Exact,59.20446777,-2.684599638,U,NA,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M1801/96,Cetacean,Harbour porpoise,Single,180,Phocoena phocoena,Harbour porpoise,1996-09-20,Exact,57.39505768,-7.372361183,F,165,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M1766/96,Cetacean,Harbour porpoise,Single,176,Phocoena phocoena,Harbour porpoise,1996-09-21,Exact,56.77329636,-2.402463198,U,100,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M1764/96,Cetacean,Harbour porpoise,Single,176,Phocoena phocoena,Harbour porpoise,1996-09-22,Exact,57.89075089,-4.012298584,M,106,FALSE,advanced decomposition (code 4),necropsied,1996,Modern
M1824/96,Cetacean,Harbour porpoise,Single,182,Phocoena phocoena,Harbour porpoise,1996-09-25,Exact,58.52055359,-3.129612923,U,170,TRUE,Slight decomposition (code 2b),not necropsied,1996,Modern
M1873/96,Cetacean,Harbour porpoise,Single,187,Phocoena phocoena,Harbour porpoise,1996-10-04,Exact,56.02865601,-3.376725435,U,120,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M1907/96,Cetacean,Harbour porpoise,Single,190,Phocoena phocoena,Harbour porpoise,1996-10-07,Exact,56.701931,-5.214565754,U,100,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M1932/96,Cetacean,Harbour porpoise,Single,193,Phocoena phocoena,Harbour porpoise,1996-10-13,Exact,56.04930115,-3.295578718,F,142,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M1933/96,Cetacean,Harbour porpoise,Single,193,Phocoena phocoena,Harbour porpoise,1996-10-13,Exact,60.49753571,-1.157176256,M,141,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M2042/96,Cetacean,Harbour porpoise,Single,204,Phocoena phocoena,Harbour porpoise,1996-10-25,Exact,57.57844543,-4.100402355,U,NA,TRUE,unknown,not necropsied,1996,Modern
M2138/96,Cetacean,Harbour porpoise,Single,213,Phocoena phocoena,Harbour porpoise,1996-11-06,Exact,59.29387665,-2.581056595,M,153,TRUE,Slight decomposition (code 2b),sampled,1996,Modern
M2137/96,Cetacean,Harbour porpoise,Single,213,Phocoena phocoena,Harbour porpoise,1996-11-07,Exact,57.66448593,-3.02745533,F,118,FALSE,advanced decomposition (code 4),necropsied,1996,Modern
M2199/96,Cetacean,Harbour porpoise,Single,219,Phocoena phocoena,Harbour porpoise,1996-11-17,Exact,57.66252136,-3.568811893,M,132,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M2261/96,Cetacean,Harbour porpoise,Single,226,Phocoena phocoena,Harbour porpoise,1996-11-27,Exact,57.17009354,-2.077688932,M,148,FALSE,moderate decomposition (code 3),necropsied,1996,Modern
M2367/96,Cetacean,Harbour porpoise,Single,236,Phocoena phocoena,Harbour porpoise,1996-12-06,Exact,56.02334213,-2.87594676,U,120,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M2439/96,Cetacean,Harbour porpoise,Single,243,Phocoena phocoena,Harbour porpoise,1996-12-17,Exact,55.55916595,-4.657398224,U,110,TRUE,unknown,not necropsied,1996,Modern
M2445/96,Cetacean,Harbour porpoise,Single,244,Phocoena phocoena,Harbour porpoise,1996-12-19,Exact,56.00783539,-3.390422106,M,144,FALSE,moderate decomposition (code 3),necropsied,1996,Modern
M2474/96,Cetacean,Harbour porpoise,Single,247,Phocoena phocoena,Harbour porpoise,1996-12-22,Exact,57.24017334,-2.044700384,M,146,FALSE,advanced decomposition (code 4),necropsied,1996,Modern
M31/97,Cetacean,Harbour porpoise,Single,3,Phocoena phocoena,Harbour porpoise,1997-01-05,Exact,57.30845261,-1.993324518,U,NA,TRUE,Slight decomposition (code 2b),not necropsied,1997,Modern
M32/97,Cetacean,Harbour porpoise,Single,3,Phocoena phocoena,Harbour porpoise,1997-01-08,Exact,57.17728424,-2.077708483,F,104,FALSE,moderate decomposition (code 3),necropsied,1997,Modern
M2957/97,Cetacean,Harbour porpoise,Single,295,Phocoena phocoena,Harbour porpoise,1997-01-14,Exact,58.34438324,-6.643199444,M,110,TRUE,unknown,not necropsied,1997,Modern
M106/97,Cetacean,Harbour porpoise,Single,106,Phocoena phocoena,Harbour porpoise,1997-01-16,Exact,55.63604736,-4.797682285,M,157,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M206/97,Cetacean,Harbour porpoise,Single,20,Phocoena phocoena,Harbour porpoise,1997-01-16,Exact,59.2809906,-2.428152561,F,165,TRUE,Slight decomposition (code 2b),sampled,1997,Modern
M372/97,Cetacean,Harbour porpoise,Single,37,Phocoena phocoena,Harbour porpoise,1997-02-18,Exact,56.02956772,-3.375158548,F,130,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M407/97,Cetacean,Harbour porpoise,Single,40,Phocoena phocoena,Harbour porpoise,1997-02-19,Exact,58.1018219,-5.271762371,M,93,FALSE,Slight decomposition (code 2b),necropsied,1997,Modern
M2960/97,Cetacean,Harbour porpoise,Single,296,Phocoena phocoena,Harbour porpoise,1997-02-21,Exact,59.24630356,-2.752044678,M,NA,TRUE,unknown,not necropsied,1997,Modern
M414/97,Cetacean,Harbour porpoise,Single,41,Phocoena phocoena,Harbour porpoise,1997-02-22,Exact,57.60297394,-1.834313154,F,117,FALSE,Slight decomposition (code 2b),necropsied,1997,Modern
M627/97,Cetacean,Harbour porpoise,Single,62,Phocoena phocoena,Harbour porpoise,1997-03-08,Exact,56.18881607,-2.855543137,U,122,TRUE,advanced decomposition (code 4),not necropsied,1997,Modern
M540/97,Cetacean,Harbour porpoise,Single,54,Phocoena phocoena,Harbour porpoise,1997-03-11,Exact,60.17250824,-1.315112829,M,170,FALSE,moderate decomposition (code 3),necropsied,1997,Modern
M622/97,Cetacean,Harbour porpoise,Single,62,Phocoena phocoena,Harbour porpoise,1997-03-18,Exact,60.35018921,-2.543308735,F,152,FALSE,moderate-advanced decomposition (code 3-4),necropsied,1997,Modern
M682/97,Cetacean,Harbour porpoise,Single,68,Phocoena phocoena,Harbour porpoise,1997-03-24,Exact,56.05965042,-3.250960112,M,115,FALSE,advanced decomposition (code 4),necropsied,1997,Modern
M677/97,Cetacean,Harbour porpoise,Single,67,Phocoena phocoena,Harbour porpoise,1997-03-28,Exact,57.70472336,-3.49679327,F,93,FALSE,Slight decomposition (code 2b),necropsied,1997,Modern
M684/97,Cetacean,Harbour porpoise,Single,68,Phocoena phocoena,Harbour porpoise,1997-03-31,Exact,58.59817123,-3.369584799,M,122,FALSE,advanced decomposition (code 4),necropsied,1997,Modern
M714/97,Cetacean,Harbour porpoise,Single,71,Phocoena phocoena,Harbour porpoise,1997-04-03,Exact,60.49102783,-1.459457159,M,123,FALSE,Slight decomposition (code 2b),necropsied,1997,Modern
M866/97,Cetacean,Harbour porpoise,Single,86,Phocoena phocoena,Harbour porpoise,1997-04-03,Exact,57.65115738,-5.797854424,U,110,TRUE,advanced decomposition (code 4),not necropsied,1997,Modern
M742/97,Cetacean,Harbour porpoise,Single,74,Phocoena phocoena,Harbour porpoise,1997-04-05,Exact,55.74880981,-4.858342171,F,105,FALSE,moderate decomposition (code 3),necropsied,1997,Modern
M741/97,Cetacean,Harbour porpoise,Single,74,Phocoena phocoena,Harbour porpoise,1997-04-05,Exact,57.59532547,-4.111414433,F,114,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M776/97,Cetacean,Harbour porpoise,Single,77,Phocoena phocoena,Harbour porpoise,1997-04-07,Exact,57.28399277,-7.42260313,M,114,TRUE,advanced decomposition (code 4),sampled,1997,Modern
M757/97,Cetacean,Harbour porpoise,Single,75,Phocoena phocoena,Harbour porpoise,1997-04-08,Exact,56.00066376,-3.388566017,M,112,FALSE,Slight decomposition (code 2b),necropsied,1997,Modern
M756/97,Cetacean,Harbour porpoise,Single,75,Phocoena phocoena,Harbour porpoise,1997-04-08,Exact,56.06376266,-3.198095083,F,134,FALSE,advanced decomposition (code 4),necropsied,1997,Modern
M1085/97,Cetacean,Harbour porpoise,Single,108,Phocoena phocoena,Harbour porpoise,1997-04-09,Exact,55.75251389,-5.384665966,U,NA,TRUE,moderate decomposition (code 3),not necropsied,1997,Modern
M802/97,Cetacean,Harbour porpoise,Single,80,Phocoena phocoena,Harbour porpoise,1997-04-11,Exact,57.00866318,-5.832431316,M,107,FALSE,Slight decomposition (code 2b),necropsied,1997,Modern
M881/97,Cetacean,Harbour porpoise,Single,88,Phocoena phocoena,Harbour porpoise,1997-04-12,Exact,57.1151886,-7.39287138,U,115,TRUE,advanced decomposition (code 4),sampled,1997,Modern
M869/97,Cetacean,Harbour porpoise,Single,86,Phocoena phocoena,Harbour porpoise,1997-04-16,Exact,57.58675385,-3.916843653,U,140,TRUE,advanced decomposition (code 4),not necropsied,1997,Modern
M836/97,Cetacean,Harbour porpoise,Single,83,Phocoena phocoena,Harbour porpoise,1997-04-16,Exact,56.7165451,-2.44598031,F,115,FALSE,advanced decomposition (code 4),necropsied,1997,Modern
M843/97,Cetacean,Harbour porpoise,Single,84,Phocoena phocoena,Harbour porpoise,1997-04-17,Exact,56.16666794,-3.048294544,F,127,FALSE,advanced decomposition (code 4),necropsied,1997,Modern
M990/97,Cetacean,Harbour porpoise,Single,99,Phocoena phocoena,Harbour porpoise,1997-05-05,Exact,56.00875092,-3.388856411,M,108,FALSE,moderate decomposition (code 3),necropsied,1997,Modern
M1028/97,Cetacean,Harbour porpoise,Single,102,Phocoena phocoena,Harbour porpoise,1997-05-09,Exact,57.66997528,-2.348642826,F,126,FALSE,moderate decomposition (code 3),necropsied,1997,Modern
M1109/97,Cetacean,Harbour porpoise,Single,110,Phocoena phocoena,Harbour porpoise,1997-05-11,Exact,57.58914185,-7.525049686,U,153,TRUE,advanced decomposition (code 4),sampled,1997,Modern
M1217/97,Cetacean,Harbour porpoise,Single,121,Phocoena phocoena,Harbour porpoise,1997-05-31,Exact,57.68650055,-2.697659492,M,154,FALSE,advanced decomposition (code 4),necropsied,1997,Modern
M1248/97,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1997-06-04,Exact,57.87995148,-4.013381004,F,71,FALSE,Slight decomposition (code 2b),necropsied,1997,Modern
M1507/97,Cetacean,Harbour porpoise,Single,150,Phocoena phocoena,Harbour porpoise,1997-06-14,Exact,59.95478821,-1.177196264,F,171,FALSE,Slight decomposition (code 2b),necropsied,1997,Modern
M1828/97,Cetacean,Harbour porpoise,Single,182,Phocoena phocoena,Harbour porpoise,1997-06-15,Exact,59.03615952,-2.574948549,U,70,TRUE,unknown,not necropsied,1997,Modern
M1345/97,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1997-06-17,Exact,57.17098999,-2.077682972,M,115,FALSE,Slight decomposition (code 2b),necropsied,1997,Modern
M1381/97,Cetacean,Harbour porpoise,Single,138,Phocoena phocoena,Harbour porpoise,1997-06-18,Exact,58.20584106,-6.308377743,U,150,TRUE,unknown,not necropsied,1997,Modern
M1513/97,Cetacean,Harbour porpoise,Single,151,Phocoena phocoena,Harbour porpoise,1997-06-21,Exact,58.01326752,-6.493605614,U,NA,TRUE,advanced decomposition (code 4),sampled,1997,Modern
M1376/97,Cetacean,Harbour porpoise,Single,137,Phocoena phocoena,Harbour porpoise,1997-06-21,Exact,57.26174164,-2.026487589,U,NA,TRUE,advanced decomposition (code 4),sampled,1997,Modern
M1377/97,Cetacean,Harbour porpoise,Single,137,Phocoena phocoena,Harbour porpoise,1997-06-21,Exact,57.75298691,-3.915566444,F,160,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M1382/97,Cetacean,Harbour porpoise,Single,138,Phocoena phocoena,Harbour porpoise,1997-06-23,Exact,57.2761116,-2.018199205,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1997,Modern
M1452/97,Cetacean,Harbour porpoise,Single,145,Phocoena phocoena,Harbour porpoise,1997-06-25,Exact,57.75190353,-7.141910553,M,152,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M1436/97,Cetacean,Harbour porpoise,Single,143,Phocoena phocoena,Harbour porpoise,1997-06-26,Exact,57.14942932,-2.075985193,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1997,Modern
M1509/97,Cetacean,Harbour porpoise,Single,150,Phocoena phocoena,Harbour porpoise,1997-06-27,Exact,60.14115524,-1.171725631,F,163,TRUE,advanced decomposition (code 4),sampled,1997,Modern
M1552/97,Cetacean,Harbour porpoise,Single,155,Phocoena phocoena,Harbour porpoise,1997-06-29,Exact,60.13471603,-1.301496029,U,165,TRUE,advanced decomposition (code 4),sampled,1997,Modern
M1604/97,Cetacean,Harbour porpoise,Single,160,Phocoena phocoena,Harbour porpoise,1997-07-11,Exact,56.35985184,-2.805965662,U,76,TRUE,advanced decomposition (code 4),not necropsied,1997,Modern
M1648/97,Cetacean,Harbour porpoise,Single,164,Phocoena phocoena,Harbour porpoise,1997-07-18,Exact,56.63010025,-2.498747587,U,NA,TRUE,unknown,not necropsied,1997,Modern
M1675/97,Cetacean,Harbour porpoise,Single,167,Phocoena phocoena,Harbour porpoise,1997-07-22,Exact,56.20599365,-2.711907387,M,150,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M1962/97,Cetacean,Harbour porpoise,Single,196,Phocoena phocoena,Harbour porpoise,1997-07-23,Exact,60.84958267,2.580974817,F,140,TRUE,freshly dead- died on beach (code 2a),not necropsied,1997,Modern
M1694/97,Cetacean,Harbour porpoise,Single,169,Phocoena phocoena,Harbour porpoise,1997-07-24,Exact,57.03463364,-7.452395916,F,161,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M1963/97,Cetacean,Harbour porpoise,Single,196,Phocoena phocoena,Harbour porpoise,1997-07-27,Exact,60.69960022,2.580980778,F,135,TRUE,freshly dead- died on beach (code 2a),not necropsied,1997,Modern
M1904/97,Cetacean,Harbour porpoise,Single,190,Phocoena phocoena,Harbour porpoise,1997-08-20,Exact,58.21857834,-5.888743401,F,143,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M1915/97,Cetacean,Harbour porpoise,Single,191,Phocoena phocoena,Harbour porpoise,1997-08-21,Exact,58.04164124,-6.130432129,M,121,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M1945/97,Cetacean,Harbour porpoise,Single,194,Phocoena phocoena,Harbour porpoise,1997-08-26,Exact,58.85498428,-2.856212378,F,152,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M2100/97,Cetacean,Harbour porpoise,Single,210,Phocoena phocoena,Harbour porpoise,1997-09-05,Exact,55.69654083,-4.90228796,U,180,TRUE,advanced decomposition (code 4),not necropsied,1997,Modern
M2118/97,Cetacean,Harbour porpoise,Single,211,Phocoena phocoena,Harbour porpoise,1997-09-13,Exact,57.67992401,-2.325266123,M,119,FALSE,Slight decomposition (code 2b),necropsied,1997,Modern
M2152/97,Cetacean,Harbour porpoise,Single,215,Phocoena phocoena,Harbour porpoise,1997-09-13,Exact,58.60805511,-3.672925711,F,151,FALSE,advanced decomposition (code 4),necropsied,1997,Modern
M2309/97,Cetacean,Harbour porpoise,Single,230,Phocoena phocoena,Harbour porpoise,1997-09-18,Exact,58.06630707,-5.35841608,U,140,TRUE,advanced decomposition (code 4),not necropsied,1997,Modern
M2372/97,Cetacean,Harbour porpoise,Single,237,Phocoena phocoena,Harbour porpoise,1997-10-14,Exact,56.29418564,-5.653940678,U,NA,TRUE,alive- refloated (code 1),not necropsied,1997,Modern
M2472/97,Cetacean,Harbour porpoise,Single,247,Phocoena phocoena,Harbour porpoise,1997-10-23,Exact,57.616745,-1.383304477,M,137,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M2730/97,Cetacean,Harbour porpoise,Single,273,Phocoena phocoena,Harbour porpoise,1997-11-28,Exact,56.59501648,-5.381479263,M,103,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M2793/97,Cetacean,Harbour porpoise,Single,279,Phocoena phocoena,Harbour porpoise,1997-12-06,Exact,56.23578644,-2.667840958,M,116,FALSE,moderate decomposition (code 3),necropsied,1997,Modern
M2962/97,Cetacean,Harbour porpoise,Single,296,Phocoena phocoena,Harbour porpoise,1997-12-06,Exact,59.38879013,-2.418946028,U,157,TRUE,unknown,not necropsied,1997,Modern
M2790/97,Cetacean,Harbour porpoise,Single,279,Phocoena phocoena,Harbour porpoise,1997-12-07,Exact,56.49409103,-5.422855377,F,155,FALSE,freshly dead- died on beach (code 2a),necropsied,1997,Modern
M59/98,Cetacean,Harbour porpoise,Single,5,Phocoena phocoena,Harbour porpoise,1998-01-06,Exact,60.20959473,-1.370279431,F,120,FALSE,Slight decomposition (code 2b),necropsied,1998,Modern
M166/98,Cetacean,Harbour porpoise,Single,16,Phocoena phocoena,Harbour porpoise,1998-01-18,Exact,54.88823318,-5.158889771,U,137,TRUE,advanced decomposition (code 4),not necropsied,1998,Modern
M112/98,Cetacean,Harbour porpoise,Single,11,Phocoena phocoena,Harbour porpoise,1998-01-20,Exact,55.99363708,-3.373878002,M,122,FALSE,freshly dead- died on beach (code 2a),necropsied,1998,Modern
M169/98,Cetacean,Harbour porpoise,Single,16,Phocoena phocoena,Harbour porpoise,1998-01-26,Exact,60.19134903,-1.157829285,U,NA,TRUE,unknown,not necropsied,1998,Modern
M168/98,Cetacean,Harbour porpoise,Single,16,Phocoena phocoena,Harbour porpoise,1998-01-26,Exact,57.68382645,-2.159277201,M,152,FALSE,Slight decomposition (code 2b),necropsied,1998,Modern
M446/98,Cetacean,Harbour porpoise,Single,44,Phocoena phocoena,Harbour porpoise,1998-02-19,Exact,55.84552002,-5.132289886,U,100,TRUE,Slight decomposition (code 2b),not necropsied,1998,Modern
M428/98,Cetacean,Harbour porpoise,Single,42,Phocoena phocoena,Harbour porpoise,1998-02-25,Exact,55.77891541,-5.099808216,M,143,FALSE,moderate decomposition (code 3),necropsied,1998,Modern
M426/98,Cetacean,Harbour porpoise,Single,42,Phocoena phocoena,Harbour porpoise,1998-02-28,Exact,55.5304451,-4.655471802,F,161,FALSE,freshly dead- died on beach (code 2a),necropsied,1998,Modern
M487/98,Cetacean,Harbour porpoise,Single,48,Phocoena phocoena,Harbour porpoise,1998-03-01,Exact,55.54832458,-4.659835339,M,136,FALSE,moderate decomposition (code 3),necropsied,1998,Modern
M522/98,Cetacean,Harbour porpoise,Single,52,Phocoena phocoena,Harbour porpoise,1998-03-08,Exact,57.6867485,-2.937508583,F,152,FALSE,freshly dead- died on beach (code 2a),necropsied,1998,Modern
M586/98,Cetacean,Harbour porpoise,Single,58,Phocoena phocoena,Harbour porpoise,1998-03-10,Exact,58.20156479,-6.381101131,F,160,TRUE,advanced decomposition (code 4),sampled,1998,Modern
